iter	Passed	Remaining
1393	6102	6203
1394	6108	6200
1395	6113	6196
1396	6119	6193
1397	6123	6189
1398	6129	6186
1399	6134	6183
1400	6140	6180
1401	6145	6175
1402	6149	6171
1403	6152	6165
1404	6160	6165
1405	6164	6160
1406	6169	6156
1407	6174	6152
1408	6183	6153
1409	6188	6149
1410	6194	6145
1411	6198	6141
1412	6202	6136
1413	6208	6133
1414	6212	6128
1415	6216	6123
1416	6219	6118
1417	6223	6114
1418	6227	6108
1419	6240	6113
1420	6257	6120
1421	6272	6126
1422	6277	6123
1423	6282	6119
1424	6288	6116
1425	6294	6113
1426	6298	6109
1427	6304	6105
1428	6309	6101
1429	6313	6097
1430	6318	6092
1431	6333	6098
1432	6339	6095
1433	6348	6096
1434	6353	6092
1435	6357	6087
1436	6362	6083
1437	6378	6090
1438	6384	6086
1439	6389	6083
1440	6394	6079
1441	6398	6074
1442	6405	6072
1443	6410	6068
1444	6424	6073
1445	6428	6068
1446	6434	6065
1447	6440	6062
1448	6446	6059
1449	6452	6056
1450	6472	6066
1451	6477	6062
1452	6483	6059
1453	6488	6055
1454	6493	6051
1455	6499	6048
1456	6505	6045
1457	6510	6041
1458	6516	6038
1459	6520	6033
1460	6524	6028
1461	6527	6023
1462	6531	6018
1463	6534	6012
1464	6538	6007
1465	6540	6000
1466	6542	5994
1467	6545	5988
1468	6549	5982
1469	6552	5977
1470	6554	5970
1471	6556	5964
1472	6558	5957
1473	6560	5950
1474	6593	5972
1475	6598	5968
1476	6603	5964
1477	6607	5959
1478	6613	5956
1479	6618	5952
1480	6624	5948
1481	6630	5946
1482	6636	5942
1483	6641	5939
1484	6648	5936
1485	6652	5932
1486	6657	5927
1487	6662	5924
1488	6666	5918
1489	6670	5913
1490	6673	5908
1491	6677	5902
1492	6680	5897
1493	6682	5891
1494	6685	5885
1495	6688	5879
1496	6690	5872
1497	6693	5866
1498	6700	5864
1499	6703	5858
1500	6706	5853
1501	6709	5847
1502	6712	5841
1503	6714	5835
1504	6717	5828
1505	6719	5822
1506	6721	5815
1507	6723	5809
1508	6726	5803
1509	6728	5797
1510	6730	5790
1511	6732	5784
1512	6734	5777
1513	6736	5771
1514	6739	5765
1515	6742	5759
1516	6745	5753
1517	6760	5758
1518	6763	5752
1519	6766	5746
1520	6769	5741
1521	6772	5735
1522	6776	5730
1523	6778	5724
1524	6781	5718
1525	6783	5712
1526	6786	5706
1527	6789	5700
1528	6791	5694
1529	6794	5688
1530	6796	5682
1531	6798	5675
1532	6800	5669
1533	6802	5662
1534	6805	5657
1535	6825	5665
1536	6831	5662
1537	6836	5658
1538	6840	5654
1539	6845	5650
1540	6849	5645
1541	6854	5640
1542	6868	5644
1543	6874	5640
1544	6878	5636
1545	6883	5632
1546	6889	5629
1547	6894	5625
1548	6898	5620
1549	6902	5615
1550	6905	5610
1551	6909	5604
1552	6912	5599
1553	6916	5594
1554	6919	5589
1555	6922	5583
1556	6925	5577
1557	6928	5572
1558	6931	5566
1559	6934	5561
1560	6937	5555
1561	6940	5549
1562	6942	5543
1563	6944	5537
1564	6946	5530
1565	6959	5532
1566	6963	5527
1567	6968	5523
1568	6988	5532
1569	6993	5528
1570	6998	5524
1571	7005	5521
1572	7009	5516
1573	7015	5513
1574	7021	5510
1575	7026	5506
1576	7031	5502
1577	7037	5498
1578	7041	5494
1579	7048	5491
1580	7053	5487
1581	7057	5483
1582	7061	5477
1583	7082	5486
1584	7087	5482
1585	7092	5478
1586	7098	5474
1587	7105	5472
1588	7110	5468
1589	7116	5464
1590	7122	5461
1591	7126	5457
1592	7131	5452
1593	7134	5447
1594	7138	5442
1595	7141	5436
1596	7145	5431
1597	7148	5426
1598	7151	5420
1599	7153	5414
1600	7155	5408
1601	7158	5402
1602	7161	5396
1603	7163	5390
1604	7165	5384
1605	7167	5377
1606	7169	5371
1607	7171	5365
1608	7173	5358
1609	7176	5353
1610	7178	5347
1611	7180	5340
1612	7182	5334
1613	7185	5328
1614	7187	5322
1615	7189	5316
1616	7191	5310
1617	7199	5308
1618	7201	5302
1619	7203	5296
1620	7205	5289
1621	7208	5284
1622	7210	5278
1623	7213	5272
1624	7215	5266
1625	7217	5259
1626	7219	5253
1627	7221	5247
1628	7223	5241
1629	7226	5235
1630	7228	5229
1631	7230	5223
1632	7232	5217
1633	7235	5211
1634	7237	5205
1635	7239	5199
1636	7241	5193
1637	7243	5187
1638	7245	5181
1639	7247	5175
1640	7249	5168
1641	7251	5162
1642	7253	5156
1643	7255	5150
1644	7258	5145
